,GEOID,pop_tot,state,county,tract,block group
297,1500000US360470539001,476.0,36,047,053900,1
298,1500000US360470542002,986.0,36,047,054200,2
299,1500000US360470544001,1269.0,36,047,054400,1
300,1500000US360470545001,47.0,36,047,054500,1
301,1500000US360470545004,1151.0,36,047,054500,4
302,1500000US360470551003,1370.0,36,047,055100,3
303,1500000US360470552001,1452.0,36,047,055200,1
304,1500000US360470553001,756.0,36,047,055300,1
305,1500000US360470554001,1979.0,36,047,055400,1
306,1500000US360470555001,8541.0,36,047,055500,1
307,1500000US360470556003,782.0,36,047,055600,3
308,1500000US360470558001,1173.0,36,047,055800,1
309,1500000US360470560002,1312.0,36,047,056000,2
310,1500000US360470561002,677.0,36,047,056100,2
311,1500000US360470561004,978.0,36,047,056100,4
312,1500000US360470563011,1115.0,36,047,056301,1
313,1500000US360470563014,853.0,36,047,056301,4
314,1500000US360470563022,1349.0,36,047,056302,2
315,1500000US360470564003,419.0,36,047,056400,3
316,1500000US360470565003,1071.0,36,047,056500,3
317,1500000US360470568001,696.0,36,047,056800,1
318,1500000US360470574001,1506.0,36,047,057400,1
319,1500000US360470575002,945.0,36,047,057500,2
320,1500000US360470576001,1521.0,36,047,057600,1
321,1500000US360470578002,1307.0,36,047,057800,2
322,1500000US360470579021,0.0,36,047,057902,1
323,1500000US360470582001,935.0,36,047,058200,1
324,1500000US360470582003,1091.0,36,047,058200,3
325,1500000US360470586001,1283.0,36,047,058600,1
326,1500000US360470588002,1729.0,36,047,058800,2
327,1500000US360470589021,0.0,36,047,058902,1
328,1500000US360470591002,1092.0,36,047,059100,2
329,1500000US360470592001,1159.0,36,047,059200,1
330,1500000US360470593001,1307.0,36,047,059300,1
331,1500000US360470594022,955.0,36,047,059402,2
332,1500000US360470594031,1623.0,36,047,059403,1
333,1500000US360470594033,767.0,36,047,059403,3
334,1500000US360470594043,1415.0,36,047,059404,3
335,1500000US360470608003,1385.0,36,047,060800,3
336,1500000US360470610032,1313.0,36,047,061003,2
337,1500000US360470610043,815.0,36,047,061004,3
338,1500000US360470612001,1062.0,36,047,061200,1
339,1500000US360470620001,1165.0,36,047,062000,1
340,1500000US360470622002,1188.0,36,047,062200,2
341,1500000US360470628001,1503.0,36,047,062800,1
342,1500000US360470628004,1491.0,36,047,062800,4
343,1500000US360470632002,636.0,36,047,063200,2
344,1500000US360470638002,1157.0,36,047,063800,2
345,1500000US360470642001,1266.0,36,047,064200,1
346,1500000US360470644002,138.0,36,047,064400,2
347,1500000US360470646002,1093.0,36,047,064600,2
348,1500000US360470650001,591.0,36,047,065000,1
349,1500000US360470654001,790.0,36,047,065400,1
350,1500000US360470676002,675.0,36,047,067600,2
351,1500000US360470680001,1135.0,36,047,068000,1
352,1500000US360470682002,1270.0,36,047,068200,2
353,1500000US360470688001,1145.0,36,047,068800,1
354,1500000US360470690002,1041.0,36,047,069000,2
355,1500000US360470692002,843.0,36,047,069200,2
356,1500000US360470696021,706.0,36,047,069602,1
357,1500000US360470698001,778.0,36,047,069800,1
358,1500000US360470700002,561.0,36,047,070000,2
359,1500000US360470702013,894.0,36,047,070201,3
360,1500000US360470702020,0.0,36,047,070202,0
361,1500000US360470702031,0.0,36,047,070203,1
362,1500000US360470706020,0.0,36,047,070602,0
363,1500000US360470722001,1683.0,36,047,072200,1
364,1500000US360470724002,985.0,36,047,072400,2
365,1500000US360470728001,2709.0,36,047,072800,1
366,1500000US360470730002,1080.0,36,047,073000,2
367,1500000US360470744002,1240.0,36,047,074400,2
368,1500000US360470748001,771.0,36,047,074800,1
369,1500000US360470750002,1114.0,36,047,075000,2
370,1500000US360470754001,616.0,36,047,075400,1
371,1500000US360470756002,1078.0,36,047,075600,2
372,1500000US360470760001,735.0,36,047,076000,1
373,1500000US360470610022,2044.0,36,047,061002,2
374,1500000US360470762001,1149.0,36,047,076200,1
375,1500000US360470764001,1010.0,36,047,076400,1
376,1500000US360470766001,2056.0,36,047,076600,1
377,1500000US360470768003,1220.0,36,047,076800,3
378,1500000US360470772001,1681.0,36,047,077200,1
379,1500000US360470774001,1070.0,36,047,077400,1
380,1500000US360470776002,1605.0,36,047,077600,2
381,1500000US360470780002,1201.0,36,047,078000,2
382,1500000US360470784001,1002.0,36,047,078400,1
383,1500000US360470786012,1293.0,36,047,078601,2
384,1500000US360470796012,1670.0,36,047,079601,2
385,1500000US360470798011,1548.0,36,047,079801,1
386,1500000US360470798022,1663.0,36,047,079802,2
387,1500000US360470800002,1077.0,36,047,080000,2
388,1500000US360470802002,959.0,36,047,080200,2
389,1500000US360470804002,1338.0,36,047,080400,2
390,1500000US360470806002,1162.0,36,047,080600,2
391,1500000US360470810001,1092.0,36,047,081000,1
392,1500000US360470814002,1228.0,36,047,081400,2
393,1500000US360470818001,2645.0,36,047,081800,1
394,1500000US360470820001,2205.0,36,047,082000,1
395,1500000US360470822001,1723.0,36,047,082200,1
396,1500000US360470822004,1181.0,36,047,082200,4
397,1500000US360470824003,1199.0,36,047,082400,3
398,1500000US360470826001,1407.0,36,047,082600,1
399,1500000US360470826004,812.0,36,047,082600,4
400,1500000US360470828003,1847.0,36,047,082800,3
401,1500000US360470846002,707.0,36,047,084600,2
402,1500000US360470850001,1609.0,36,047,085000,1
403,1500000US360470854001,887.0,36,047,085400,1
404,1500000US360470856002,1187.0,36,047,085600,2
405,1500000US360470858002,1285.0,36,047,085800,2
406,1500000US360470860003,1330.0,36,047,086000,3
407,1500000US360470862003,709.0,36,047,086200,3
408,1500000US360470866001,1249.0,36,047,086600,1
409,1500000US360470868001,1196.0,36,047,086800,1
410,1500000US360470870001,1135.0,36,047,087000,1
411,1500000US360470870003,614.0,36,047,087000,3
412,1500000US360470872003,1215.0,36,047,087200,3
413,1500000US360470876001,1153.0,36,047,087600,1
414,1500000US360470878002,108.0,36,047,087800,2
415,1500000US360470880012,648.0,36,047,088001,2
416,1500000US360470882002,883.0,36,047,088200,2
417,1500000US360470892001,356.0,36,047,089200,1
418,1500000US360470892004,1332.0,36,047,089200,4
419,1500000US360470894003,878.0,36,047,089400,3
420,1500000US360470896002,1574.0,36,047,089600,2
421,1500000US360470898001,790.0,36,047,089800,1
422,1500000US360470900002,161.0,36,047,090000,2
423,1500000US360470900005,975.0,36,047,090000,5
424,1500000US360470902001,973.0,36,047,090200,1
425,1500000US360470902004,388.0,36,047,090200,4
426,1500000US360470906002,1329.0,36,047,090600,2
427,1500000US360470908002,711.0,36,047,090800,2
428,1500000US360470910002,1198.0,36,047,091000,2
429,1500000US360470910004,534.0,36,047,091000,4
430,1500000US360470912003,3101.0,36,047,091200,3
431,1500000US360470916003,492.0,36,047,091600,3
432,1500000US360470918002,910.0,36,047,091800,2
433,1500000US360470936001,871.0,36,047,093600,1
434,1500000US360470938002,1445.0,36,047,093800,2
435,1500000US360470944012,957.0,36,047,094401,2
436,1500000US360470944021,3127.0,36,047,094402,1
437,1500000US360470946003,845.0,36,047,094600,3
438,1500000US360470954001,1260.0,36,047,095400,1
439,1500000US360470956001,2070.0,36,047,095600,1
440,1500000US360470958002,1831.0,36,047,095800,2
441,1500000US360470964001,1064.0,36,047,096400,1
442,1500000US360470966002,1150.0,36,047,096600,2
443,1500000US360470970001,1374.0,36,047,097000,1
444,1500000US360470974001,1707.0,36,047,097400,1
445,1500000US360470982002,1608.0,36,047,098200,2
446,1500000US360470986002,1299.0,36,047,098600,2
447,1500000US360470990001,1697.0,36,047,099000,1
448,1500000US360470996001,1677.0,36,047,099600,1
449,1500000US360471022001,2157.0,36,047,102200,1
450,1500000US360471028011,1652.0,36,047,102801,1
451,1500000US360471034011,2128.0,36,047,103401,1
452,1500000US360471034021,0.0,36,047,103402,1
453,1500000US360471058013,1585.0,36,047,105801,3
454,1500000US360471058043,2547.0,36,047,105804,3
455,1500000US360471070020,0.0,36,047,107002,0
456,1500000US360471078001,921.0,36,047,107800,1
457,1500000US360471078004,1129.0,36,047,107800,4
458,1500000US360471098002,920.0,36,047,109800,2
459,1500000US360471098005,1530.0,36,047,109800,5
460,1500000US360471104003,1231.0,36,047,110400,3
461,1500000US360471106002,2119.0,36,047,110600,2
462,1500000US360471116001,2850.0,36,047,111600,1
463,1500000US360471118002,1423.0,36,047,111800,2
464,1500000US360471122001,1908.0,36,047,112200,1
465,1500000US360471132003,0.0,36,047,113200,3
466,1500000US360471134003,1171.0,36,047,113400,3
467,1500000US360471142012,493.0,36,047,114201,2
468,1500000US360471144001,502.0,36,047,114400,1
469,1500000US360471144004,458.0,36,047,114400,4
470,1500000US360471150001,1137.0,36,047,115000,1
471,1500000US360471152001,1018.0,36,047,115200,1
472,1500000US360471156001,1026.0,36,047,115600,1
473,1500000US360471156004,1137.0,36,047,115600,4
474,1500000US360471158003,1072.0,36,047,115800,3
475,1500000US360471160003,667.0,36,047,116000,3
476,1500000US360471162003,1043.0,36,047,116200,3
477,1500000US360471164002,1049.0,36,047,116400,2
478,1500000US360471166002,1092.0,36,047,116600,2
479,1500000US360471168002,708.0,36,047,116800,2
480,1500000US360471172011,1279.0,36,047,117201,1
481,1500000US360471184001,1392.0,36,047,118400,1
482,1500000US360471186001,1651.0,36,047,118600,1
483,1500000US360471188002,1227.0,36,047,118800,2
484,1500000US360471190002,1121.0,36,047,119000,2
485,1500000US360471192003,697.0,36,047,119200,3
486,1500000US360471194002,2188.0,36,047,119400,2
487,1500000US360471196002,922.0,36,047,119600,2
488,1500000US360471198001,1111.0,36,047,119800,1
489,1500000US360471200001,1319.0,36,047,120000,1
490,1500000US360471202002,877.0,36,047,120200,2
491,1500000US360471208013,1515.0,36,047,120801,3
492,1500000US360471208022,1449.0,36,047,120802,2
493,1500000US360471210002,2325.0,36,047,121000,2
494,1500000US360471220001,2520.0,36,047,122000,1
495,1500000US360471237002,3546.0,36,047,123700,2
496,1500000US360471502002,965.0,36,047,150200,2
497,1500000US360470001001,612.0,36,047,000100,1
498,1500000US360470001003,1659.0,36,047,000100,3
499,1500000US360470003011,670.0,36,047,000301,1
500,1500000US360470003014,690.0,36,047,000301,4
501,1500000US360470005012,1132.0,36,047,000501,2
502,1500000US360470005022,1151.0,36,047,000502,2
503,1500000US360470007003,1228.0,36,047,000700,3
504,1500000US360470018041,0.0,36,047,001804,1
505,1500000US360470021001,1632.0,36,047,002100,1
506,1500000US360470022001,1038.0,36,047,002200,1
507,1500000US360470022004,760.0,36,047,002200,4
508,1500000US360470023003,980.0,36,047,002300,3
509,1500000US360470029012,1045.0,36,047,002901,2
510,1500000US360470031011,2959.0,36,047,003101,1
511,1500000US360470031021,0.0,36,047,003102,1
512,1500000US360470034000,0.0,36,047,003400,0
513,1500000US360470034003,896.0,36,047,003400,3
514,1500000US360470036001,914.0,36,047,003600,1
515,1500000US360470037001,2568.0,36,047,003700,1
516,1500000US360470039001,1160.0,36,047,003900,1
517,1500000US360470039003,678.0,36,047,003900,3
518,1500000US360470041003,797.0,36,047,004100,3
519,1500000US360470043003,605.0,36,047,004300,3
520,1500000US360470050003,728.0,36,047,005000,3
521,1500000US360470051003,746.0,36,047,005100,3
522,1500000US360470052020,0.0,36,047,005202,0
523,1500000US360470053010,0.0,36,047,005301,0
524,1500000US360470053020,0.0,36,047,005302,0
525,1500000US360470053023,48.0,36,047,005302,3
526,1500000US360470054000,0.0,36,047,005400,0
527,1500000US360470054003,904.0,36,047,005400,3
528,1500000US360470056012,1194.0,36,047,005601,2
529,1500000US360470058001,1002.0,36,047,005800,1
530,1500000US360470059001,750.0,36,047,005900,1
531,1500000US360470060002,828.0,36,047,006000,2
532,1500000US360470062002,771.0,36,047,006200,2
533,1500000US360470063002,1119.0,36,047,006300,2
534,1500000US360470064002,858.0,36,047,006400,2
535,1500000US360470065002,707.0,36,047,006500,2
536,1500000US360470069012,934.0,36,047,006901,2
537,1500000US360470070001,1412.0,36,047,007000,1
538,1500000US360470071002,2432.0,36,047,007100,2
539,1500000US360470072001,1738.0,36,047,007200,1
540,1500000US360470074003,468.0,36,047,007400,3
541,1500000US360470075002,998.0,36,047,007500,2
542,1500000US360470075005,859.0,36,047,007500,5
543,1500000US360470076003,1980.0,36,047,007600,3
544,1500000US360470077003,1482.0,36,047,007700,3
545,1500000US360470078002,1360.0,36,047,007800,2
546,1500000US360470078004,835.0,36,047,007800,4
547,1500000US360470080003,833.0,36,047,008000,3
548,1500000US360470082003,1067.0,36,047,008200,3
549,1500000US360470084003,1020.0,36,047,008400,3
550,1500000US360470085003,2431.0,36,047,008500,3
551,1500000US360470088002,1067.0,36,047,008800,2
552,1500000US360470098002,1750.0,36,047,009800,2
553,1500000US360470100001,925.0,36,047,010000,1
554,1500000US360470100004,1268.0,36,047,010000,4
555,1500000US360470101003,1544.0,36,047,010100,3
556,1500000US360470102003,1155.0,36,047,010200,3
557,1500000US360470104012,1011.0,36,047,010401,2
558,1500000US360470106011,1000.0,36,047,010601,1
559,1500000US360470106022,786.0,36,047,010602,2
560,1500000US360470108021,1012.0,36,047,010802,1
561,1500000US360470110002,1313.0,36,047,011000,2
562,1500000US360470112003,1498.0,36,047,011200,3
563,1500000US360470114002,1235.0,36,047,011400,2
